           LockChart; Algorithm; Enterings;               First;               Optim;              Finish
                N103;      SAT2;        16;            0.000042;            0.000042;            0.000089
                N103;      SAT4;        16;            0.000113;            0.000113;            0.000246
                N103;     Lawer;        16;            0.000031;            0.000031;            0.000559
                N103;    Impl10;        16;            0.000024;            0.000024;            0.000502
                N103;    Impl15;        16;            0.000012;            0.000012;            0.000721
                N103;    Impl30;        16;            0.000023;            0.000023;            0.000804
                N103;    Impl50;        16;            0.000020;            0.000020;            0.000560
                N103;      AllD;        16;            0.000108;            0.000108;            0.012712
                N108;      SAT2;         8;            0.000282;            0.000282;            0.000785
                N108;      SAT4;         8;            0.000378;            0.000378;            0.001090
                N108;     Lawer;         8;            0.000021;            0.000038;            0.000380
                N108;    Impl10;         8;            0.000024;            0.000043;            0.000401
                N108;    Impl15;         8;            0.000024;            0.000041;            0.000308
                N108;    Impl30;         8;            0.000024;            0.000042;            0.000371
                N108;    Impl50;         8;            0.000016;            0.000032;            0.000364
                N108;      AllD;         8;            0.000142;            0.000150;            0.013238
                N109;      SAT2;         9;            0.000202;            0.000577;            0.000735
                N109;      SAT4;         9;            0.000112;            0.000315;            0.000396
                N109;     Lawer;         9;            0.000032;            0.012401;            0.012685
                N109;    Impl10;         9;            0.000024;            0.012554;            0.012997
                N109;    Impl15;         9;            0.000024;            0.012306;            0.012673
                N109;    Impl30;         9;            0.000022;            0.011623;            0.011982
                N109;    Impl50;         9;            0.000024;            0.011731;            0.012008
                N109;      AllD;         9;            0.000167;            0.025032;            0.029380
                N111;      SAT2;         4;            0.000140;            0.000140;            0.000346
                N111;      SAT4;         4;            0.000049;            0.000049;            0.000111
                N111;     Lawer;         4;            0.000011;            0.000032;            0.000042
                N111;    Impl10;         4;            0.000014;            0.000040;            0.000054
                N111;    Impl15;         4;            0.000009;            0.000028;            0.000038
                N111;    Impl30;         4;            0.000011;            0.000028;            0.000037
                N111;    Impl50;         4;            0.000009;            0.000026;            0.000035
                N111;      AllD;         4;            0.000036;            0.000069;            0.000097
                N112;      SAT2;         3;            0.000133;            0.000133;            0.000315
                N112;      SAT4;         3;            0.000145;            0.000145;            0.000328
                N112;     Lawer;         3;            0.000040;            0.000053;            0.000066
                N112;    Impl10;         3;            0.000017;            0.000023;            0.000030
                N112;    Impl15;         3;            0.000010;            0.000013;            0.000017
                N112;    Impl30;         3;            0.000006;            0.000009;            0.000013
                N112;    Impl50;         3;            0.000005;            0.000008;            0.000011
                N112;      AllD;         3;            0.000024;            0.000028;            0.000044
                N201;      SAT2;        32;            0.000359;            0.003798;            0.011699
                N201;      SAT4;        32;            0.000169;            0.001454;            0.380585
                N201;     Lawer;        27;            0.000049;            0.362342;            0.428897
                N201;    Impl10;        27;            0.000040;            0.345157;            0.389131
                N201;    Impl15;        27;            0.000039;            0.310487;            0.350640
                N201;    Impl30;        27;            0.000050;            0.343627;            0.391378
                N201;    Impl50;        27;            0.000101;            0.345318;            0.392588
                N201;      AllD;        27;            0.005813;            1.006557;            1.226260
                N203;      SAT2;         3;            0.000072;            0.000072;            0.000170
                N203;      SAT4;         3;            0.000067;            0.000067;            0.000159
                N203;     Lawer;         3;            0.000013;            0.000021;            0.000032
                N203;    Impl10;         3;            0.004605;            0.004612;            0.004622
                N203;    Impl15;         3;            0.000017;            0.000028;            0.000043
                N203;    Impl30;         3;            0.000033;            0.000058;            0.000097
                N203;    Impl50;         3;            0.000016;            0.000026;            0.000043
                N203;      AllD;         3;            0.000035;            0.000044;            0.000102
                N209;      SAT2;        16;            0.000172;            0.000273;            0.000399
                N209;      SAT4;        16;            0.000111;            0.000184;            0.000279
                N209;     Lawer;        16;            0.000095;            0.004388;            0.004871
                N209;    Impl10;        16;            0.000072;            0.004340;            0.004823
                N209;    Impl15;        16;            0.000080;            0.002905;            0.003211
                N209;    Impl30;        16;            0.000033;            0.001799;            0.002002
                N209;    Impl50;        16;            0.000024;            0.001098;            0.001224
                N209;      AllD;        16;            0.000183;            0.003701;            0.005269
                N101;      SAT2;        12;            0.000594;            0.006990;            0.009535
                N101;      SAT4;        12;            0.000443;            0.013848;            0.015790
                N101;     Lawer;        12;            0.000029;            0.004355;            0.007891
                N101;    Impl10;        12;            0.000035;            0.010434;            0.012040
                N101;    Impl15;        12;            0.000062;            0.016353;            0.019796
                N101;    Impl30;        12;            0.000090;            0.021123;            0.039482
                N101;    Impl50;        12;            0.000083;            0.020960;            0.038863
                N101;      AllD;        12;            0.000445;            0.219973;            0.318724
                N104;      SAT2;        27;            0.000791;            0.001446;            0.005511
                N104;      SAT4;        27;            0.000380;            0.000619;            0.012780
                N104;     Lawer;        24;            0.000054;            0.424908;            0.691295
                N104;    Impl10;        24;            0.000048;            0.434566;            0.712448
                N104;    Impl15;        24;            0.000031;            0.371678;            0.645061
                N104;    Impl30;        24;            0.000043;            0.415832;            0.685234
                N104;    Impl50;        24;            0.000046;            0.377934;            0.651858
                N104;      AllD;        24;            0.002002;           14.494134;           26.577844
                N106;      SAT2;       243;            0.005214;            0.005214;            0.005214
                N106;      SAT4;        54;            0.005844;            0.006818;            1.634661
                N106;     Lawer;        54;            0.099709;          567.376938;          612.633367
                N106;    Impl10;        54;            0.146835;          529.849313;          575.091796
                N106;    Impl15;        54;            0.123144;          515.015978;          564.039471
                N106;    Impl30;        54;            0.109944;          485.545295;          530.464257
                N106;    Impl50;        54;            0.107038;          593.010888;          639.098301
                N106;      AllD;        54;            0.031096;         6205.236431;         8911.033015
                N107;      SAT2;         4;            0.000231;            0.000231;            0.000664
                N107;      SAT4;         4;            0.000232;            0.000232;            0.000680
                N107;     Lawer;         4;            0.000022;            0.000064;            0.000094
                N107;    Impl10;         4;            0.000032;            0.000075;            0.000105
                N107;    Impl15;         4;            0.000023;            0.000077;            0.000109
                N107;    Impl30;         4;            0.000028;            0.000089;            0.000134
                N107;    Impl50;         4;            0.000029;            0.000096;            0.000144
                N107;      AllD;         4;            0.000642;            0.001292;            0.004650
                N202;      SAT2;       256;            0.000552;            0.000552;            0.003657
                N202;      SAT4;       128;            0.000509;            0.007231;            0.130761
                N202;     Lawer;       128;            0.000148;            0.004374;            0.452375
                N202;    Impl10;       128;            0.000085;            0.002736;            0.399300
                N202;    Impl15;       128;            0.000144;            0.009347;            0.485118
                N202;    Impl30;       128;            0.000085;            0.002662;            0.437479
                N202;    Impl50;       128;            0.000088;            0.001361;            0.386154
                N202;      AllD;       128;            0.011154;            0.014544;            6.522343
                N206;      SAT2;         9;            0.000270;            0.000270;            0.003761
                N206;      SAT4;         9;            0.000272;            0.000272;            0.425172
                N206;     Lawer;         9;            0.000055;            0.004696;            0.005082
                N206;    Impl10;         9;            0.000050;            0.002721;            0.003113
                N206;    Impl15;         9;            0.000048;            0.002730;            0.003122
                N206;    Impl30;         9;            0.000045;            0.002705;            0.003090
                N206;    Impl50;         9;            0.000044;            0.002712;            0.003086
                N206;      AllD;         9;            0.000536;            0.034150;            0.039163
                N208;      SAT2;         7;            0.000179;            0.000179;            0.003526
                N208;      SAT4;         7;            0.000142;            0.000142;            0.003002
                N208;     Lawer;         7;            0.000031;            0.000634;            0.000734
                N208;    Impl10;         7;            0.000040;            0.001062;            0.001223
                N208;    Impl15;         7;            0.000027;            0.000606;            0.000745
                N208;    Impl30;         7;            0.000035;            0.000986;            0.001144
                N208;    Impl50;         7;            0.000036;            0.000942;            0.001094
                N208;      AllD;         7;            0.000448;            0.007352;            0.010011
                N100;      SAT2;       729;            0.004841;            0.004841;            0.004841
                N100;      SAT4;       486;            0.009711;            0.010858;            1.879506
                N102;      SAT2;        27;            0.002801;            0.005342;            0.008149
                N102;      SAT4;        27;            0.001892;            0.005112;            0.890502
                N102;     Lawer;        27;            0.001686;          418.560905;          492.917443
                N102;    Impl10;        27;            0.000186;          420.385813;          497.030825
                N102;    Impl15;        27;            0.000195;          414.390139;          488.020197
                N102;    Impl30;        27;            0.000175;          415.032646;          489.311780
                N102;    Impl50;        27;            0.000193;          418.725986;          494.679013
                N102;      AllD;        48;            0.014731;          911.594511;     10000000.000000
                N200;      SAT2;       125;            0.004336;            0.004336;            0.004336
                N200;      SAT4;        25;            0.005508;            0.015542;            0.679266
                N200;     Lawer;        50;            0.415394;         1297.352398;     10000000.000000
                N200;    Impl10;        50;            0.442235;         1164.427977;     10000000.000000
                N200;    Impl15;        50;            0.423649;         1194.377117;     10000000.000000
                N200;    Impl30;        50;            0.438780;         1182.247651;     10000000.000000
                N200;    Impl50;        50;            0.433438;         1583.599497;     10000000.000000
                N200;      AllD;        50;            0.136252;         9759.618255;     10000000.000000
                N205;      SAT2;       243;            0.005267;            0.005267;            0.005267
                N205;      SAT4;        81;            0.008412;            0.009189;            0.578943
                M103;      SAT2;        64;            0.001042;            0.001042;            0.001042
                M103;      SAT4;        64;            0.002616;            0.002616;            0.005975
                M103;     Lawer;        64;           14.434642;           14.434642;           14.476465
                M103;    Impl10;        64;           23.286535;           23.286535;           23.458109
                M103;    Impl15;        64;           23.714800;           23.714800;           23.888539
                M103;    Impl30;        64;           22.856005;           22.856005;           23.030983
                M103;    Impl50;        64;           22.712095;           22.712095;           22.883022
                M103;      AllD;        64;           18.292540;           18.292540;           18.583649
                M108;      SAT2;        64;            0.004095;            0.004095;            0.004095
                M108;      SAT4;        64;            0.010669;            0.010669;            0.598538
                M108;     Lawer;        48;         2798.737936;         6280.215770;         6375.039546
                M108;    Impl10;        64;         4906.651452;         4906.651452;     10000000.000000
                M108;    Impl15;        64;         4982.890472;         4982.890472;     10000000.000000
                M108;    Impl30;        64;         4973.006375;         4973.006375;     10000000.000000
                M108;    Impl50;        64;         4951.106912;         4951.106912;     10000000.000000
                M108;      AllD;        64;         4999.223031;         4999.223031;     10000000.000000
                M109;      SAT2;        81;            0.001831;            0.001831;            0.001831
                M109;      SAT4;        27;            0.002065;            0.006423;            0.034152
                M109;     Lawer;        27;            1.163807;           31.589726;           32.275188
                M109;    Impl10;        27;            1.965379;          100.352568;          103.832917
                M109;    Impl15;        27;            1.955399;          102.770632;          106.251303
                M109;    Impl30;        27;            1.830334;          101.810794;          105.258234
                M109;    Impl50;        27;            1.967125;          100.846454;          104.231669
                M109;      AllD;        27;            2.907543;          192.349855;          199.008978
                M111;      SAT2;        25;            0.001977;            0.001977;            0.001977
                M111;      SAT4;        25;            0.003704;            0.003704;            0.319996
                M111;     Lawer;        25;            0.010601;            0.010601;            0.235759
                M111;    Impl10;        25;            0.002518;            0.002518;            0.512944
                M111;    Impl15;        25;            0.002512;            0.002512;            0.494312
                M111;    Impl30;        25;            0.002516;            0.002516;            0.494524
                M111;    Impl50;        25;            0.002515;            0.002515;            0.494912
                M111;      AllD;        25;            0.002054;            0.002054;            0.609148
                M112;      SAT2;        25;            0.002186;            0.002186;            0.002186
                M112;      SAT4;        25;            0.032133;            0.032133;            0.486891
                M112;     Lawer;        25;            3.850097;            3.850097;            4.544321
                M112;    Impl10;        25;            5.708805;            5.708805;            7.353345
                M112;    Impl15;        25;            5.646860;            5.646860;            7.163273
                M112;    Impl30;        25;            6.075656;            6.075656;            7.708037
                M112;    Impl50;        25;            6.143290;            6.143290;            7.682915
                M112;      AllD;        25;            4.483668;            4.483668;            6.226293
                M201;      SAT2;        64;            0.002179;            0.002179;            0.002179
                M201;      SAT4;        64;            0.033693;            0.033693;            0.509228
                M201;     Lawer;        64;            0.009230;            0.009230;          766.690790
                M201;    Impl10;        64;            0.011416;            0.011416;         2245.771758
                M201;    Impl15;        64;            0.011366;            0.011366;         2185.554783
                M201;    Impl30;        64;            0.010991;            0.010991;         2057.799290
                M201;    Impl50;        64;            0.011147;            0.011147;         2054.025738
                M201;      AllD;        64;            0.012620;            0.012620;         3690.799345
                M203;      SAT2;        64;            0.004817;            0.004817;            0.004817
                M203;      SAT4;        64;            0.214204;            0.214204;            0.761388
                M204;      SAT2;         2;            0.000021;            0.000021;            0.000029
                M204;      SAT4;         2;            0.000031;            0.000031;            0.000039
                M204;     Lawer;         2;            0.000007;            0.000007;            0.000012
                M204;    Impl10;         0;            0.000001;            0.000001;            0.000001
                M204;    Impl15;         0;            0.000001;            0.000001;            0.000001
                M204;    Impl30;         0;            0.000001;            0.000001;            0.000001
                M204;    Impl50;         0;            0.000001;            0.000001;            0.000001
                M204;      AllD;         0;            0.000001;            0.000001;            0.000001
                M209;      SAT2;        64;            0.003488;            0.003488;            0.003488
                M209;      SAT4;        64;            0.076216;            0.076216;            0.107519
                M209;     Lawer;        64;          248.944999;          248.944999;          249.094281
                M209;    Impl10;        64;          373.096458;          373.096458;          373.506516
                M209;    Impl15;        64;          373.083045;          373.083045;          373.483343
                M209;    Impl30;        64;          372.911281;          372.911281;          373.320299
                M209;    Impl50;        64;          373.764182;          373.764182;          374.175116
                M209;      AllD;        64;          739.174247;          739.174247;          740.050142
                M101;      SAT2;       125;            0.010182;            0.010182;            0.010182
                M101;      SAT4;       125;            0.937685;            0.937685;            0.937685
                M104;      SAT2;       243;            0.006481;            0.006481;            0.006481
                M104;      SAT4;       162;            0.013774;            0.018259;            2.038526
                M106;      SAT2;       243;            0.006382;            0.006382;            0.006382
                M106;      SAT4;       162;            0.011746;            0.012501;            2.435976
                M107;      SAT2;       125;            0.009015;            0.009015;            0.009015
                M107;      SAT4;       100;            0.018925;            0.092092;            1.729813
                M107;    Impl10;       125;            0.000981;            0.000981;     10000000.000000
                M107;    Impl15;       125;            0.001067;            0.001067;     10000000.000000
                M107;    Impl30;       125;            0.001101;            0.001101;     10000000.000000
                M107;    Impl50;       125;            0.001174;            0.001174;     10000000.000000
                M107;      AllD;       125;            0.002585;            0.002585;     10000000.000000
                M202;      SAT2;       512;            0.005313;            0.005313;            0.005313
                M202;      SAT4;       512;            0.014150;            0.014150;            0.789150
                M206;      SAT2;        81;            0.009506;            0.009506;            0.009506
                M206;      SAT4;        81;            0.110352;            0.110352;            1.181466
                M208;      SAT2;        81;            0.016305;            0.016305;            0.016305
                M208;      SAT4;        81;            0.088454;            0.088454;            1.280534
                M100;      SAT2;       729;            0.011623;            0.011623;            0.011623
                M100;      SAT4;       729;            0.067182;            0.067182;            1.402094
                M102;      SAT2;       729;            0.026146;            0.026146;            0.026146
                M102;      SAT4;       486;            0.079707;            1.190033;            4.457918
                M200;      SAT2;       125;            0.008792;            0.008792;            0.008792
                M200;      SAT4;       100;            0.013950;            0.020269;            1.620466
                M205;      SAT2;       243;            0.011014;            0.011014;            0.011014
                M205;      SAT4;       243;            0.042633;            0.042633;            0.851297
